Month,wonu,product,gas,Monthly volume of oil
2013-01,6845065,5505475,359294,12709834
2013-02,5793716,5077142,252358,11123216
2013-03,7197099,5397771,146459,12741329
2013-04,6149529,4538712,331363,11019604
2013-05,5581076,4306825,180727,10068628
2013-06,5677178,4584207,552665,10814050
2013-07,5836208,4454150,449133,10739491
2013-08,5572126,4766145,334896,10673167
2013-09,5694317,4442999,457108,10594424
2013-10,6519650,4766275,491114,11777039
2013-11,5070839,5175396,512413,10758648
2013-12,5646298,5629057,396843,11672198
2014-01,6252266,5527718,357366,12137350
2014-02,5134497,4941217,301083,10376797
2014-03,6322200,6262365,247973,12832538
2014-04,5402684,5083718,275968,10762370
2014-05,5909242,5887192,304808,12101242
2014-06,5401146,4427737,409096,10237979
2014-07,5619379,4850922,327833,10798134
2014-08,5353175,5167122,365746,10886043
2014-09,4801817,5331663,247090,10380570
2014-10,5870070,5274003,234685,11378758
2014-11,5922246,5204932,320107,11447285
2014-12,5287951,5719152,312397,11319500
2015-01,6520712,5380139,396214,12297065
2015-02,5670554,5033029,264187,10967770
2015-03,5910088,4656765,515170,11082023
2015-04,5517166,4931085,361538,10809789
2015-05,6441185,5281205,522090,12244480
2015-06,5744557,4642684,398943,10786184
2015-07,6008477,4569989,314670,10893136
2015-08,5664550,5307280,538760,11510590
2015-09,5350335,5078153,498297,10926785
2015-10,4808917,4952660,592499,10354076
2015-11,5060448,4853288,345496,10259232
2015-12,5879438,5527893,532996,11940327
2016-01,5697308,5200852,457604,11355764
2016-02,6674676,5197925,602148,12474749
2016-03,6155016,4893643,600207,11648866
2016-04,5721091,4927568,735400,11384059
2016-05,6873843,5492669,641588,13008100
2016-06,5647558,4827721,661616,11136895
2016-07,5959449,5053773,657351,11670573
2016-08,4851660,4644538,632779,10128977
2016-09,6621711,4860865,860391,12342967
2016-10,6314349,4962460,729980,12006789
2016-11,4912565,4267255,710745,9890565
2016-12,5753655,4614304,652737,11020696
2017-01,6613888,5071187,734353,12419428
2017-02,5787140,4696369,712960,11196469
2017-03,6150929,5195010,574465,11920404
2017-04,5621609,5104094,630081,11355784
2017-05,6040143,5208065,723201,11971409
2017-06,5077053,4270468,598603,9946124
2017-07,6696162,4763592,656583,12116337
2017-08,5862418,5252190,544818,11659426
2017-09,6233206,5057680,476446,11767332
2017-10,5775290,4652514,648508,11076312
2017-11,6404320,5588161,503560,12496041
2017-12,6044053,5220040,466314,11730407
2018-01,6711417,4996865,509679,12217961
2018-02,6047593,4713399,713054,11474046
2018-03,5154146,4308742,542617,10005505
2018-04,4888113,3814246,667610,9369969
2018-05,5928456,4878934,884477,11691867
2018-06,6272660,3662950,1183530,11119140
2018-07,6262984,3836372,689100,10788456
2018-08,6382866,4388229,578805,11349900
2018-09,5262203,4671909,537149,10471261
2018-10,6868878,4429109,711631,12009618
2018-11,5359829,3707934,509666,9577429
2018-12,6441443,4392198,623557,11457198
2019-01,6029939,5500005,498460,12028404
2019-02,6096052,4312147,665314,11073513
2019-03,5052333,4255461,613718,9921512
2019-04,5230791,4294902,580934,10106627
2019-05,5812014,4731939,620099,11164052
2019-06,5496070,5316344,624653,11437067
2019-07,5101031,6229976,609536,11940543
2019-08,6076709,6019064,763110,12858883
2019-09,5395417,5314732,527507,11237656
2019-10,5321352,5369266,511029,11201647
2019-11,5341763,5207042,622058,11170863
2019-12,6415468,6026882,702319,13144669
2020-01,5258565,5506583,732808,11497956
2020-02,5226217,5921062,427017,11574296
2020-03,6467081,6064356,481946,13013383
2020-04,6436930,5232486,751003,12420419
2020-05,5444301,5233059,816870,11494230
2020-06,4656615,4322827,548988,9528430
2020-07,5361282,4748707,670196,10780185
